category,job_number,work_date,address,station,work_time,payment,transport_fee,task,count,special_note,search_guide
健診医師求人,E033-841-480,2026年6月24日（水）,埼玉県桶川市,JR高崎線北本駅ﾀｸｼｰ15分,8:30～12:15,"25,000円","別途 上限8,000円",,受診者数約30名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E033-841-480"
健診医師求人,E034-817-887,2026年6月24日（水）,東京都練馬区,西武池袋線練馬高野台駅徒歩11分,9:30～12:00,"30,000円","別途 上限3,500円",問診 聴診 血圧測定,受診者数約20名 /,女性医師が望ましい /,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E034-817-887"
健診医師求人,E475-721-812,2026年6月25日（木）,群馬県太田市,東武伊勢崎線韮川駅,8:30～17:00 （内休憩60分）,"60,000円","別途 上限5,000円",問診 聴診 血圧測定 特殊検査,受診者数約220名,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E475-721-812"
健診医師求人,E683-060-211,2026年6月25日（木）,千葉県千葉市稲毛区,JR総武線西千葉駅ﾀｸｼｰ10分,9:00～16:30,"60,000円","別途 一律3,000円",問診 聴診 血圧測定,受診者数約130名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E683-060-211"
健診医師求人,E448-208-075,2026年6月29日（月）,千葉県千葉市稲毛区,JR総武線四街道駅ﾀｸｼｰ12分,7:00～9:30,"30,000円","別途 一律3,000円",問診 聴診 血圧測定,受診者数約80名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E448-208-075"
健診医師求人,E873-134-073,2026年6月29日（月）,群馬県伊勢崎市,東武伊勢崎線新伊勢崎駅ﾀｸｼｰ15分,13:45～16:30,"30,000円","別途 上限10,000円",問診 聴診 人間ドック 特殊検査 予防接種,受診者数約120名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E873-134-073"
健診医師求人,E071-003-070,2026年6月30日（火）,静岡県富士市,JR身延線柚木駅,12:00～13:30,"30,000円","別途 上限15,000円",問診 触診 乳がん検診 子宮がん検診,,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E071-003-070"
健診医師求人,E560-275-810,2026年7月2日（木）,群馬県前橋市,JR両毛線前橋駅,9:30～12:00,"18,000円","別途 上限5,000円",問診 聴診 血圧測定,受診者数約60名,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E560-275-810"
健診医師求人,E781-576-775,2026年7月2日（木）,群馬県邑楽郡大泉町,東武小泉線西小泉駅,8:30～10:30,"15,000円","別途 上限5,000円",問診 聴診 血圧測定,受診者数約50名,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E781-576-775"
健診医師求人,E610-631-653,2026年7月2日（木）,群馬県伊勢崎市,東武伊勢崎線新伊勢崎駅ﾀｸｼｰ15分,13:45～16:30,"30,000円","別途 上限10,000円",問診 聴診 人間ドック 特殊検査 予防接種,受診者数約120名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E610-631-653"
健診医師求人,E536-638-840,2026年7月2日（木）,千葉県成田市,JR線成田空港駅ﾀｸｼｰ9分,15:00～18:30,"40,000円","別途 一律3,000円",問診 聴診 血圧測定,受診者数約110名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E536-638-840"
健診医師求人,E578-380-700,2026年7月3日（金）,群馬県太田市,東武伊勢崎線太田駅,7:30～8:30,"10,000円","別途 上限5,000円",問診 聴診 血圧測定,受診者数約30名,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E578-380-700"
健診医師求人,E606-017-237,2026年7月6日（月）,栃木県下野市,JR東北本線小金井駅ﾀｸｼｰ15分,8:00～10:30,"30,000円","別途 上限10,000円",問診 聴診,受診者数約90名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E606-017-237"
健診医師求人,E524-002-150,2026年7月6日（月）,東京都練馬区,西武池袋線大泉学園駅徒歩13分,8:30～15:50,"66,000円 ※源泉徴収後の金額をお支払いします",込み,問診 聴診,受診者数約90名 /,女性医師が望ましい,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E524-002-150"
健診医師求人,E842-732-648,2026年7月6日（月）,静岡県富士宮市,東海道新幹線新富士駅ﾀｸｼｰ45分,8:30～13:00,"55,000円","別途 上限20,000円",問診 聴診,受診者数約40名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E842-732-648"
健診医師求人,E777-707-368,2026年7月7日（火）,群馬県伊勢崎市,東武伊勢崎線新伊勢崎駅ﾀｸｼｰ15分,13:45～16:30,"30,000円","別途 上限10,000円",問診 聴診 人間ドック 特殊検査 予防接種,受診者数約120名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E777-707-368"
健診医師求人,E037-561-572,2026年7月7日（火）,東京都中央区,新宿線馬喰横山駅徒歩10分,8:00～12:30,"40,000円",別途 実費支給,問診 聴診,受診者数約職員90名 /,女性医師が望ましい,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E037-561-572"
健診医師求人,E551-263-610,2026年7月7日（火）,東京都あきる野市,JR五日市線武蔵引田駅徒歩3分,7:45～12:30,"40,000円","別途 上限5,000円",問診 聴診 特殊検査,受診者数約105名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E551-263-610"
健診医師求人,E561-112-357,2026年7月8日（水）,群馬県伊勢崎市,東武伊勢崎線新伊勢崎駅ﾀｸｼｰ15分,13:45～16:30,"30,000円","別途 上限10,000円",問診 聴診 人間ドック 特殊検査 予防接種,受診者数約120名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E561-112-357"
健診医師求人,E333-256-214,2026年7月8日（水）,東京都練馬区,西武池袋線大泉学園駅徒歩13分,8:30～12:00,"33,000円 ※源泉徴収後の金額をお支払いします",込み,問診 聴診,受診者数約70名 /,女性医師が望ましい,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E333-256-214"
健診医師求人,E364-345-053,2026年7月8日（水）,東京都足立区,東武伊勢崎線小菅駅徒歩9分,8:30～12:00,"30,000円",込み,問診 聴診,受診者数約100/3日間名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E364-345-053"
健診医師求人,E300-410-847,2026年7月9日（木）,千葉県市,小湊鉄道線上総三又駅徒歩1分,9:00～12:00,"30,000円","別途 上限4,000円",問診 聴診,受診者数約50名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E300-410-847"
健診医師求人,E036-100-630,2026年7月9日（木）,群馬県高崎市,上信電鉄線吉井駅ﾀｸｼｰ10分,8:30～10:30,"25,000円","別途 上限10,000円",問診 聴診 特殊検査,受診者数約70名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E036-100-630"
健診医師求人,E440-385-145,2026年7月9日（木）,神奈川県大和市,小田急線鶴間駅徒歩10分,9:10～13:30,"40,000円","別途 上限3,000円",問診 聴診,受診者数約100名 /,女性医師が望ましい,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E440-385-145"
健診医師求人,E174-636-783,2026年7月9日（木）,長野県長野市,JR線長野駅徒歩5分,8:40～16:00,"70,000円 税込",別途 実費支給,問診 聴診,受診者数約未定名 /,女性医師が望ましい /,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E174-636-783"
健診医師求人,E236-036-448,2026年7月9日（木）,長野県長野市,JR線長野駅徒歩5分,8:40～16:00,"70,000円 税込",別途 実費支給,問診 聴診,受診者数約未定名 /,女性医師が望ましい /,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E236-036-448"
健診医師求人,E705-236-670,2026年7月9日（木）,静岡県富士市,東海道新幹線新富士駅ﾀｸｼｰ30分,8:30～14:00,"65,000円","別途 上限20,000円",問診 聴診 特殊検査,受診者数約40名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E705-236-670"
健診医師求人,E302-055-138,2026年7月9日（木）,東京都東大和市,多摩モノレール線上北台駅徒歩5分,8:00～12:30,"35,000円","別途 上限5,000円",血圧測定,受診者数約65名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E302-055-138"
健診医師求人,E060-078-687,2026年7月10日（金）,東京都西多摩郡奥多摩町,JR青梅線奥多摩駅徒歩10分,8:15～12:30,"35,000円","別途 上限5,000円",血圧測定,受診者数約35名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E060-078-687"
健診医師求人,E042-782-607,2026年7月10日（金）,埼玉県戸田市,JR埼京線武蔵浦和駅ﾀｸｼｰ6分,7:45～13:30,"45,000円","別途 上限5,000円",問診 聴診,受診者数約170名 /,女性医師が望ましい /,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E042-782-607"
健診医師求人,E283-627-088,2026年7月10日（金）,長野県松本市,松本電鉄上高地線新村駅,13:30～16:30,"40,000円","別途 上限20,000円",問診 聴診 触診 特殊検査,受診者数約36名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E283-627-088"
健診医師求人,E066-451-612,2026年7月14日（火）,東京都葛飾区,,7:30～16:30 （内休憩60分）,"80,000円",込み,,受診者数約24名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E066-451-612"
健診医師求人,E070-471-254,2026年7月14日（火）,東京都葛飾区,,7:30～16:30 （内休憩60分）,"80,000円",込み,,受診者数約24名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E070-471-254"
健診医師求人,E824-376-410,2026年7月14日（火）,茨城県常総市,関東鉄道常総線小絹駅,13:00～17:00,"50,000円",込み,問診 聴診,受診者数約62名,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E824-376-410"
健診医師求人,E083-572-762,2026年7月14日（火）,東京都足立区,つくばエクスプレス線六町駅ﾀｸｼｰ8分,8:30～13:00,"40,000円",込み,問診 聴診 触診,受診者数約174/2日間名 /,女性医師が望ましい /,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E083-572-762"
健診医師求人,E010-040-307,2026年7月14日（火）,埼玉県さいたま市北区,埼玉新都市交通伊奈線今羽駅徒歩5分,8:30～13:00,"40,000円",込み,問診 聴診 触診,受診者数約270名/2日間名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E010-040-307"
健診医師求人,E715-174-187,2026年7月15日（水）,群馬県利根郡川場村,JR上越線沼田駅,7:30～15:30,"85,000円",込み,問診 聴診,受診者数約110名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E715-174-187"
健診医師求人,E125-240-201,2026年7月15日（水）,東京都葛飾区,,7:30～16:30 （内休憩60分）,"80,000円",込み,,受診者数約24名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E125-240-201"
健診医師求人,E101-241-353,2026年7月15日（水）,東京都葛飾区,,7:30～16:30 （内休憩60分）,"80,000円",込み,,受診者数約24名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E101-241-353"
健診医師求人,E255-001-004,2026年7月16日（木）,群馬県太田市,JR両毛線国定駅,8:30～10:30,"15,000円","別途 上限5,000円",問診 聴診 血圧測定,受診者数約50名,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E255-001-004"
健診医師求人,E775-432-304,2026年7月16日（木）,埼玉県本庄市,JR高崎線本庄駅ﾀｸｼｰ15分,6:50～10:30,"40,000円","別途 上限10,000円",問診 聴診 特殊検査,受診者数約90名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E775-432-304"
健診医師求人,E376-166-675,2026年7月16日（木）,神奈川県小田原市,伊豆箱根鉄道大雄山線穴部駅徒歩8分,8:45～12:00,"30,000円",込み,問診 聴診 触診,受診者数約80名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E376-166-675"
健診医師求人,E335-824-427,2026年7月16日（木）,群馬県高崎市,JR信越本線安中駅,7:30～12:30,"65,000円",込み,問診 聴診 特殊検査,受診者数約200/2診名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E335-824-427"
健診医師求人,E550-126-001,2026年7月17日（金）,栃木県小山市,JR東北本線小山駅ﾀｸｼｰ15分,8:00～13:00,"60,000円","別途 上限10,000円",問診 触診 乳がん検診 子宮がん検診,受診者数約60名 /,女性医師が望ましい /,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E550-126-001"
健診医師求人,E230-626-012,2026年7月17日（金）,埼玉県本庄市,JR高崎線本庄駅ﾀｸｼｰ15分,8:30～12:00,"35,000円","別途 上限10,000円",問診 聴診 特殊検査,受診者数約120名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E230-626-012"
健診医師求人,E004-733-231,2026年7月17日（金）,千葉県袖ケ浦市,内房線姉ヶ崎駅ﾀｸｼｰ12分,9:00～12:30 （内休憩00分）,"30,000円","別途 一律3,000円",問診 聴診 血圧測定,受診者数約50名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E004-733-231"
健診医師求人,E350-503-650,2026年7月18日（土）,埼玉県北足立郡伊奈町,ﾆｭｰｼｬﾄﾙ線伊奈中央駅徒歩13分,8:00～12:00,"40,000円","別途 上限10,000円",問診 聴診 触診 予防接種,受診者数約15～20名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E350-503-650"
健診医師求人,E361-034-105,2026年7月21日（火）,長野県塩尻市,JR中央本支線塩尻駅,9:00～13:00,"35,000円","別途 上限5,000円",問診 聴診 血圧測定 特殊検査,受診者数約80名,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E361-034-105"
健診医師求人,E337-163-351,2026年7月21日（火）,群馬県邑楽郡板倉町,東武日光線藤岡駅ﾀｸｼｰ10分,7:50～11:00,"30,000円","別途 上限10,000円",問診 聴診 特殊検査,受診者数約120名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E337-163-351"
健診医師求人,E476-008-288,2026年7月21日（火）,茨城県結城市,JR水戸線結城駅ﾀｸｼｰ10分,8:00～11:20,"30,000円","別途 上限10,000円",問診 聴診 特殊検査,受診者数約90名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E476-008-288"
健診医師求人,E401-235-272,2026年7月21日（火）,東京都板橋区,三田線西台駅徒歩10分,9:00～17:30,"70,000円",込み,問診 予防接種,,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E401-235-272"
健診医師求人,E170-874-162,2026年7月22日（水）,長野県長野市,北しなの線北長野駅,10:00～11:30,"15,000円","別途 上限5,000円",問診 聴診 血圧測定 特殊検査,受診者数約40名,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E170-874-162"
健診医師求人,E684-675-045,2026年7月22日（水）,東京都千代田区,JR線有楽町駅徒歩5分,9:00～13:00,"40,000円","別途 上限2,000円",問診 聴診 人間ドック,,女性医師が望ましい /,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E684-675-045"
健診医師求人,E854-888-262,2026年7月23日（木）,群馬県邑楽郡邑楽町,東武小泉線本中野駅,8:30～12:30,"55,000円",込み,問診 聴診,受診者数約200名/2診名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E854-888-262"
健診医師求人,E470-000-677,2026年7月24日（金）,神奈川県横浜市旭区,相模線三ツ境駅ﾀｸｼｰ20分,9:00～16:30,"60,000円","別途 一律2,000円",問診 聴診 立会い,受診者数約職員50名/利用者70,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E470-000-677"
健診医師求人,E618-343-406,2026年7月24日（金）,静岡県富士市,東海道新幹線新富士駅ﾀｸｼｰ20分,8:00～12:30,"45,000円","別途 上限20,000円",問診 聴診 特殊検査,受診者数約30名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E618-343-406"
健診医師求人,E200-638-850,2026年7月24日（金）,神奈川県愛甲郡愛川町,小田急線相模大野駅ﾀｸｼｰ38分,7:30～13:00,"40,000円","別途 上限5,000",問診 聴診 特殊検査,受診者数約160名,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E200-638-850"
健診医師求人,E230-430-580,2026年7月24日（金）,千葉県流山市,東武ｱｰﾊﾞﾝﾊﾟｰｸﾗｲﾝ線江戸川台駅ﾀｸｼｰ11分,7:45～13:00,"40,000円","別途 上限5,000",問診 聴診 特殊検査,受診者数約150名,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E230-430-580"
健診医師求人,E640-700-033,2026年7月27日（月）,群馬県伊勢崎市,東武伊勢崎線新伊勢崎駅ﾀｸｼｰ15分,13:45～16:30,"30,000円","別途 上限10,000円",問診 聴診 人間ドック 特殊検査 予防接種,受診者数約120名 /,,"以下の公式サイトで求人番号を入力し、お問合せください。
 https://www.e-doctor.ne.jp/k
 求人番号：E640-700-033"
